species,speciesID,common_name,taxonomic_group,doc_type,sara_status,date_of_listing,doc_citation,url,year_published,CC_threat_CA,seabird,seabird_notes,migratory,subspecies,population,sdm,range_data,rationale_excluded,range_data_source,range_data_citation,spatial_data_used,spatial_data_type,spatial_data_date_accessed,spatial_data_verified,spatial_data_verified_notes,range_size_Canada,range_size_America,exclude_Hardouin_Hargreaves,cc_threat_ca_adj,sara_status_adj,year_of_listing,min_year_of_listing,cc_sdm,sdm_no_cc,sdm_ca,cc_sdm_ca,sdm_no_cc_ca,n_sdm,n_cc_sdm,n_sdm_ca,n_cc_sdm_ca,rsf_sdm,n_rsf_sdm,rowID,X2_primary_review_date,X2_secondary_review_date,X2_cc_sdm,X2_cc_sdm_ref_type,X2_cc_sdm_reference,X2_cc_sdm_section,X2_cc_sdm_cc_threat,X2_cc_sdm_oth_threat,X2_other_sdm,X2_other_sdm_reference,X2_other_sdm_section,X2_other_sdm_cc_threat,X2_other_sdm_oth_threat,X2_other_cc_model,start_date,n_sdm_ca_avl,n_cc_sdm_ca_avl
Abronia umbellata,457,pink sand-verbena,Vascular Plants,Recovery Strategies,Endangered,NA,"Fairbarns, M.D., C. Webb, L.K. Blight, N. Page, B. Costanzo, T. Kaye, T. Lea and J. McIntosh. 2007. Recovery Strategy for the Pink Sand-verbena ( ) in Canada (Final). Species at Risk Act Recovery Strategy Series. Parks Canada Agency. Ottawa. v + 21 pp.",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=pink%20sand%20-%20verbena,2007,0,0,NA,0,0,0,0,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,4545.361582,32902.10598,N,0,Endangered,NA,2005,0,0,0,0,0,0,0,0,0,0,0,1580,7/15/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2006,0,0
Abronia umbellata,457,pink sand-verbena,Vascular Plants,COSEWIC Status Reports,Endangered,7/14/2005,COSEWIC 2004. COSEWIC assessment and status report on the pink sand-verbena Abronia unbellata in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. vii + 19 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=pink%20sand%20-%20verbena,2004,0,0,NA,0,0,0,0,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,4545.361582,32902.10598,N,0,Endangered,2005,2005,0,0,0,0,0,0,0,0,0,0,0,588,7/15/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2003,0,0
Accipiter gentilis laingi,121,northern goshawk laingi subspecies,Birds,Recovery Strategies,Threatened,NA,"Parks Canada Agency. 2018. Recovery Strategy for the Northern Goshawk laingi subspecies (Accipiter gentilis laingi) in Canada. Species at Risk Act Recovery Strategy Series. Parks Canada Agency, Ottawa. 2 parts, 34 pp. + Appendices + 56 pp.",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=northern%20goshawk%20laingi%20subspecies,2018,1,0,NA,NA,1,0,0,0,"no spatial data at the subspecies level, no estimate of range size at the subspecies level",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Threatened,NA,2003,0,0,0,0,0,0,0,0,0,0,0,199,6/26/2024,7/8/2024,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,2017,0,0
Accipiter gentilis laingi,121,northern goshawk laingi subspecies,Birds,COSEWIC Status Reports,Threatened,6/5/2003,COSEWIC. 2013. COSEWIC assessment and status report on the Northern Goshawk Accipiter gentilis laingi in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. x + 56 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=northern%20goshawk%20laingi%20subspecies,2013,0,0,NA,NA,1,0,0,0,"no spatial data at the subspecies level, no estimate of range size at the subspecies level",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Threatened,2003,2003,0,0,0,0,0,0,0,0,0,0,0,814,7/15/2024,10/22/2024,0,NA,NA,NA,NA,NA,1,"Doyle, F.I., E. McClaren and L. Waterhouse. 2010. Northern Goshawk (Accipiter gentilis laingi) habitat suitability model verification on Haida Gwaii. B.C. Min. Environ. 27 pp.",OTH,0,0,3,2012,0,0
Achillea millefolium var. megacephala,1501,large-headed woolly yarrow,Vascular Plants,COSEWIC Status Reports,Special Concern,6/5/2003,"COSEWIC. 2018. COSEWIC assessment and status report on the Athabasca Endemics,Large-headed Woolly Yarrow (Achillea millefolium var. megacephala), Athabasca Thrift (Armeria maritima ssp. interior), Mackenzie Hairgrass (Deschampsia mackenzieana), Sand-dune Short-capsuled Willow (Salix brachycarpa var. psammophila), Turnor’s Willow (Salix turnorii), Blanket-leaved Willow (Salix silicicola), and Floccose Tansy (Tanacetum huronense var. floccosum) in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xlvii + 83 pp.",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=large%20-%20headed%20woolly%20yarrow,2018,1,0,NA,0,1,0,1,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,324.2586238,324.2586238,N,1,Special Concern,2003,2003,0,1,1,0,1,1,0,1,0,1,1,10,5/10/2024,NA,0,NA,NA,NA,NA,NA,1,"COSEWIC. 2018. COSEWIC assessment and status report on the Athabasca Endemics,Large-headed Woolly Yarrow (Achillea millefolium var. megacephala), Athabasca Thrift (Armeria maritima ssp. interior), Mackenzie Hairgrass (Deschampsia mackenzieana), Sand-dune Short-capsuled Willow (Salix brachycarpa var. psammophila), Turnor’s Willow (Salix turnorii), Blanket-leaved Willow (Salix silicicola), and Floccose Tansy (Tanacetum huronense var. floccosum) in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xlvii + 83 pp.",SI,0,0,3,2017,0,0
Acris blanchardi,455,blanchard's cricket frog,Amphibians,Recovery Strategies,Endangered,NA,"Environment Canada. 2011. Recovery Strategy for the Blanchardâ€™s Cricket Frog (Acris blanchardi) in Canada. Species at Risk Act Recovery Strategy Series. Environment Canada, Ottawa. v + 21 pp.",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=blanchard%27s%20cricket%20frog,2011,1,0,NA,0,0,0,1,1,NA,IUCN,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe. 2021. Acris blanchardi. The IUCN Red List of Threatened Species. Version 2023-1. Downloaded on 02 April 2024.",1,polygon,March 26 2024,1,NA,12172.09155,2334120.187,NA,1,Endangered,NA,2003,0,1,1,0,1,2,0,1,0,1,2,1622,5/24/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2010,0,0
Acris blanchardi,455,blanchard's cricket frog,Amphibians,COSEWIC Status Reports,Endangered,6/5/2003,COSEWIC. 2011. COSEWIC status appraisal summary on the Blanchard’s Cricket Frog Acris blanchardi in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xi pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=blanchard%27s%20cricket%20frog,2011,0,0,NA,0,0,0,1,1,NA,IUCN,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe. 2021. Acris blanchardi. The IUCN Red List of Threatened Species. Version 2023-1. Downloaded on 02 April 2024.",1,polygon,March 26 2024,1,NA,12172.09155,2334120.187,NA,1,Endangered,2003,2003,0,1,1,0,1,2,0,1,0,1,2,631,7/15/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2010,0,0
Acroscyphus sphaerophoroides,1028,mountain crab-eye,Lichens,COSEWIC Status Reports,Special Concern,2/25/2019,COSEWIC. 2016. COSEWIC assessment and status report on the Mountain Crab-eye Acroscyphus sphaerophoroides in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xi + 47 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=mountain%20crab%20-%20eye,2016,1,0,NA,0,0,0,0,1,NA,Stolar,"Stolar, J., Stralberg, D., Naujokaitis-Lewis, I., & Nielsen, S. E. (2024). Ecological niche models for focal SARA-listed species in British Columbia [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10976709",1,SDM output (binary range),April 17 2024,2,"very disjunct range, range in south america not included in scope of data",75058.05444,177880.6345,U,1,Special Concern,2019,2019,0,0,0,0,0,0,0,0,0,0,0,188,6/14/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,3,2015,0,0
Actaea elata,285,tall bugbane,Vascular Plants,Recovery Strategies,Endangered,NA,"Environment and Climate Change Canada. 2017. Recovery Strategy for the Tall Bugbane (Actaea elata) in Canada. Species at Risk Act Recovery Strategy Series. Environment and Climate Change Canada, Ottawa. 2 parts, 15 pp. + 43 pp.",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=tall%20bugbane,2017,1,0,NA,0,0,0,0,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,513.2424657,253953.7986,N,1,Endangered,NA,2003,0,0,0,0,0,0,0,0,0,0,0,1799,5/13/2024,NA,0,NA,NA,NA,NA,NA,1,"Klinkenberg, B. 2005. Predictive mapping on potential habitat for Tall Bugbane (Actaea elata) in British Columbia. Unpublished report for BC Min. Environ. and the National Tall Bugbane Recovery Team.",STR,0,0,0,2016,0,0
Actaea elata,285,tall bugbane,Vascular Plants,COSEWIC Status Reports,Endangered,6/5/2003,COSEWIC. 2018. COSEWIC assessment and status report on the Tall Bugbane Actaea elata in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xi + 37 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=tall%20bugbane,2018,1,0,NA,0,0,0,0,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,513.2424657,253953.7986,N,1,Endangered,2003,2003,0,0,0,0,0,0,0,0,0,0,0,327,5/13/2024,NA,0,NA,NA,NA,NA,NA,1,"Klinkenberg, B. 2005. Predictive mapping on potential habitat for Tall Bugbane (Actaea elata) in British Columbia. Unpublished report for BC Min. Environ. and the National Tall Bugbane Recovery Team.",SI,0,0,2,2017,0,0
Actaea elata,285,tall bugbane,Vascular Plants,COSEWIC Status Reports,Endangered,6/5/2003,COSEWIC 2001. COSEWIC assessment and status report on the tall bugbane Cimicifuga elata in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. vi + 14 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=tall%20bugbane,2001,0,0,NA,0,0,0,0,1,NA,Hardouin & Hargreaves,"Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,range size,NA,NA,NA,513.2424657,253953.7986,N,1,Endangered,2003,2003,0,0,0,0,0,0,0,0,0,0,0,808,7/15/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2000,0,0
Adiantum capillus-veneris,168,southern maidenhair fern,Vascular Plants,Recovery Strategies,Endangered,NA,"Environment Canada. 2013. Recovery Strategy for the Southern Maidenhair Fern (Adiantum capillus-veneris) in Canada. Species at Risk Act Recovery Strategy Series. Environment Canada, Ottawa. 13 pp. + Appendix.",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=southern%20maidenhair%20fern,2013,0,0,NA,0,0,0,0,0,Canadian range not included in located spatial data,Stolar,"Stolar, J., Stralberg, D., Naujokaitis-Lewis, I., & Nielsen, S. E. (2024). Ecological niche models for focal SARA-listed species in British Columbia [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10976709",1,SDM output (binary range),April 17 2024,1,can't use - BC range not included,0,3249779.702,NA,0,Endangered,NA,2003,0,0,0,0,0,0,0,0,0,0,0,1671,7/15/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2012,0,0
Adiantum capillus-veneris,168,southern maidenhair fern,Vascular Plants,COSEWIC Status Reports,Endangered,6/5/2003,COSEWIC. 2011. COSEWIC status appraisal summary on the Southern Maidenhair Fern Adiantum capillus-veneris in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xii pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=southern%20maidenhair%20fern,2011,0,0,NA,0,0,0,0,0,Canadian range not included in located spatial data,Stolar,"Stolar, J., Stralberg, D., Naujokaitis-Lewis, I., & Nielsen, S. E. (2024). Ecological niche models for focal SARA-listed species in British Columbia [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10976709",1,SDM output (binary range),April 17 2024,1,can't use - BC range not included,0,3249779.702,NA,0,Endangered,2003,2003,0,0,0,0,0,0,0,0,0,0,0,680,7/15/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2010,0,0
Aechmophorus occidentalis,194,western grebe,Birds,COSEWIC Status Reports,Special Concern,11/2/2017,COSEWIC. 2014. COSEWIC assessment and status report on the Western Grebe Aechmophorus occidentalis in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. x + 55 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=western%20grebe,2014,1,0,"breeding and resident range terrestrial, non-breeding and passage range marine",1,0,0,1,1,NA,IUCN,BirdLife International and Handbook of the Birds of the World (2019) 2018. Aechmophorus occidentalis. The IUCN Red List of Threatened Species. Version 2023-1,1,polygon,April 30 2024,1,NA,1251617.51,4863830.715,NA,1,Special Concern,2017,2017,1,0,1,1,0,3,3,3,3,1,3,1013,5/13/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,2,2013,2,2
Aegolius acadicus brooksi,295,northern saw-whet owl brooksi subspecies,Birds,COSEWIC Status Reports,Threatened,12/13/2007,COSEWIC. 2017. COSEWIC assessment and status report on the Northern Saw-whet Owl brooksi subspecies Aegolius acadicus brooksi in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xi + 34 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=northern%20saw%20-%20whet%20owl%20brooksi%20subspecies,2017,1,0,NA,NA,1,0,0,1,NA,"status report: endemic to Canada, use EOO",COSEWIC. 2017. COSEWIC assessment and status report on the Northern Saw-whet Owl brooksi subspecies Aegolius acadicus brooksi in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xi + 34 pp. (http://www.registrelepsararegistry.gc.ca/default.asp?lang=en&n=24F7211B-1),0,EOO,NA,NA,NA,13799,13799,NA,1,Threatened,2007,2007,0,0,0,0,0,0,0,0,0,0,0,203,5/21/2024,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,2016,0,0
