"CANSAR 1.0 refers to the database published in 2022. It is an open source and accessible dataset accessible at: https://osf.io/e4a58/
Citation: Naujokaitis-Lewis, I., Endicott, S., & Guezen, J. M. (2022). CAN-SAR: A database of Canadian species at risk information. Scientific Data, 9(1), 289. https://doi.org/10.1038/s41597-022-01381-8

SARSDM refers to data extracted during the SAR-SDM project. In the case of this database, that is the use of SDMs in listing documents.","Note that each row represents a speciesID-paperID combination. These rows should be identical for the same species since we did not distinguish between populations when extracting data.

For data taken from CANSAR: Note that 'NE' means Not Extracted throughout the database and indicates that the data has not been extracted but could be.",,,,,,,,,,,,,,,
Field name,Description,Extraction details,Source,Format,Possible values,,,,,,,,,,,
rowID,Unique identifier for each line in the database. Reflects each unique combination of speciesID and paperID for which data was extracted from papers.,"There is one rowID for each row in the database, created once all papers have been added to the database.

This rowID is specific to this database, and is entirely different than the rowIDs used in CANSAR, SAR SDM database, and SR RD database.",SARSDM,Integer,,,,,,,,,,,,
speciesID,Unique identifier for each species or designatable unit,There will be multiple entries for each species if there is more than one document published.,CANSAR1.0,Integer,,,,,,,,,,,,
common_name,Common name of species and population,Common name and population directly transcribed from the title page.,CANSAR1.0,Text,,,,,,,,,,,,
species,Binomial name of species,Scientific name directly transcribed from the document title.,CANSAR1.0,Text,,,,,,,,,,,,
sara_status,The status of the species listed under SARA Schedule 1.,"The Schedule 1 status under SARA. It can be different from the status assessed by COSEWIC. It should be apparent from the 'Protection, status and rank section' of the executive summary in a Status Report, or the preface or executive summary of a Recovery Strategy or Management Plan. The species profile on the SAR Public Registry site also gives the status.",CANSAR1.0,Categorical,Endangered,Threatened,Special Concern,,,,,,,,,
taxonomic_group,Taxonomic group,The taxonomic group used in the document to describe the species.,CANSAR1.0,Categorical,Amphibians, Arthropods, Birds, Fishes (freshwater), Fishes (marine), Lichens, Mammals (marine), Mammals (terrestrial), Molluscs, Mosses, Reptiles, Vascular Plants
Class,Class.,Obtained from GBIF.,SARSDM,Text,NA: DFO species (DFO=1),,,,,,,,,,,
Phylum,Phylum.,Obtained from GBIF.,SARSDM,Text,NA: DFO species (DFO=1),,,,,,,,,,,
Order,Order.,Obtained from GBIF.,SARSDM,Text,NA: DFO species (DFO=1),,,,,,,,,,,
