"","rowID","speciesID","common_name","species","sara_status","taxonomic_group","Class","Phylum","Order","Family","DFO","population","subspecies","paperID","year_published","doc_citation","date_accessed","rsf","North_America","subspecies_model","date_data_extraction","rationale_ne","reviewer_initials","extraction_method","inc_analysis","pop_model_notes","motivation","built_sdm_historical","historical_year","built_sdm_present","present_years","proj_future","proj_future_year","proj_present","proj_present_year","proj_present_motive","backcast","back_year","predictors","num_species","extent_region","region_notes","spatial_limits","notes_spatial_limit","built_CA","built_US","built_MX","focus_CA","focus_US","focus_MX","obj_cc_vulnerability","obj_conservation","obj_method","obj_other","obj_text","secondary_model","Notes","remove","rationale","sdm_na","cc_sdm_na","sdm_no_cc_na","sdm_ca","cc_sdm_ca","sdm_no_cc_ca","rsf_sdm_na"
"1",843,404,"rapids clubtail","Gomphus quadricolor","Endangered","Arthropods","Insecta","Arthropoda","Odonata","Gomphidae",0,0,0,44,2022,"Abbott, J. C., Bota-Sierra, C. A., Guralnick, R., Kalkman, V., González-Soriano, E., Novelo-Gutiérrez, R., Bybee, S., Ware, J., & Belitz, M. W. (2022). Diversity of Nearctic Dragonflies and Damselflies (Odonata). Diversity, 14(7). https://doi.org/10.3390/d14070575","2023-02-09",0,1,0,"2023-02-09",NA,"HK","1",NA,NA,"Produced SDMs for Odonate species in the Nearctic so that they could create maps of richness and endemism. They used those maps to answer questions about the structure of Odonate spatial diversity.",0,NA,1,"unknown",0,NA,0,NA,NA,0,NA,"1","509","Canada, USA, Mexico","Nearctic realm",1,NA,NA,NA,NA,"1","1","1",NA,NA,NA,NA,NA,0,NA,0,NA,1,0,1,1,0,1,1
"2",845,393,"skillet clubtail","Gomphus ventricosus","Endangered","Arthropods","Insecta","Arthropoda","Odonata","Gomphidae",0,0,0,44,2022,"Abbott, J. C., Bota-Sierra, C. A., Guralnick, R., Kalkman, V., González-Soriano, E., Novelo-Gutiérrez, R., Bybee, S., Ware, J., & Belitz, M. W. (2022). Diversity of Nearctic Dragonflies and Damselflies (Odonata). Diversity, 14(7). https://doi.org/10.3390/d14070575","2023-02-09",0,1,0,"2023-02-09",NA,"HK","1",NA,NA,"Produced SDMs for Odonate species in the Nearctic so that they could create maps of richness and endemism. They used those maps to answer questions about the structure of Odonate spatial diversity.",0,NA,1,"unknown",0,NA,0,NA,NA,0,NA,"1","509","Canada, USA, Mexico","Nearctic realm",1,NA,NA,NA,NA,"1","1","1",NA,NA,NA,NA,NA,0,NA,0,NA,1,0,1,1,0,1,1
"3",1190,430,"pygmy snaketail","Ophiogomphus howei","Special Concern","Arthropods","Insecta","Arthropoda","Odonata","Gomphidae",0,0,0,44,2022,"Abbott, J. C., Bota-Sierra, C. A., Guralnick, R., Kalkman, V., González-Soriano, E., Novelo-Gutiérrez, R., Bybee, S., Ware, J., & Belitz, M. W. (2022). Diversity of Nearctic Dragonflies and Damselflies (Odonata). Diversity, 14(7). https://doi.org/10.3390/d14070575","2023-02-09",0,1,0,"2023-02-09",NA,"HK","1",NA,NA,"Produced SDMs for Odonate species in the Nearctic so that they could create maps of richness and endemism. They used those maps to answer questions about the structure of Odonate spatial diversity.",0,NA,1,"unknown",0,NA,0,NA,NA,0,NA,"1","509","Canada, USA, Mexico","Nearctic realm",1,NA,NA,NA,NA,"1","1","1",NA,NA,NA,NA,NA,0,NA,0,NA,1,0,1,1,0,1,1
"4",1760,391,"hine's emerald","Somatochlora hineana","Endangered","Arthropods","Insecta","Arthropoda","Odonata","Corduliidae",0,0,0,44,2022,"Abbott, J. C., Bota-Sierra, C. A., Guralnick, R., Kalkman, V., González-Soriano, E., Novelo-Gutiérrez, R., Bybee, S., Ware, J., & Belitz, M. W. (2022). Diversity of Nearctic Dragonflies and Damselflies (Odonata). Diversity, 14(7). https://doi.org/10.3390/d14070575","2023-02-09",0,1,0,"2023-02-09",NA,"HK","1",NA,NA,"Produced SDMs for Odonate species in the Nearctic so that they could create maps of richness and endemism. They used those maps to answer questions about the structure of Odonate spatial diversity.",0,NA,1,"unknown",0,NA,0,NA,NA,0,NA,"1","509","Canada, USA, Mexico","Nearctic realm",1,NA,NA,NA,NA,"1","1","1",NA,NA,NA,NA,NA,0,NA,0,NA,1,0,1,1,0,1,1
"5",1787,405,"riverine clubtail great lakes plains population","Stylurus amnicola","Endangered","Arthropods","Insecta","Arthropoda","Odonata","Gomphidae",0,1,0,44,2022,"Abbott, J. C., Bota-Sierra, C. A., Guralnick, R., Kalkman, V., González-Soriano, E., Novelo-Gutiérrez, R., Bybee, S., Ware, J., & Belitz, M. W. (2022). Diversity of Nearctic Dragonflies and Damselflies (Odonata). Diversity, 14(7). https://doi.org/10.3390/d14070575","2023-02-09",0,1,0,"2023-02-09",NA,"HK","1",NA,"not population specific, but Canadian range included in extent","Produced SDMs for Odonate species in the Nearctic so that they could create maps of richness and endemism. They used those maps to answer questions about the structure of Odonate spatial diversity.",0,NA,1,"unknown",0,NA,0,NA,NA,0,NA,"1","509","Canada, USA, Mexico","Nearctic realm",1,NA,NA,NA,NA,"1","1","1",NA,NA,NA,NA,NA,0,"not population specific",0,NA,1,0,1,1,0,1,1
"6",1789,429,"olive clubtail","Stylurus olivaceus","Endangered","Arthropods","Insecta","Arthropoda","Odonata","Gomphidae",0,0,0,44,2022,"Abbott, J. C., Bota-Sierra, C. A., Guralnick, R., Kalkman, V., González-Soriano, E., Novelo-Gutiérrez, R., Bybee, S., Ware, J., & Belitz, M. W. (2022). Diversity of Nearctic Dragonflies and Damselflies (Odonata). Diversity, 14(7). https://doi.org/10.3390/d14070575","2023-02-09",0,1,0,"2023-02-09",NA,"HK","1",NA,NA,"Produced SDMs for Odonate species in the Nearctic so that they could create maps of richness and endemism. They used those maps to answer questions about the structure of Odonate spatial diversity.",0,NA,1,"unknown",0,NA,0,NA,NA,0,NA,"1","509","Canada, USA, Mexico","Nearctic realm",1,NA,NA,NA,NA,"1","1","1",NA,NA,NA,NA,NA,0,NA,0,NA,1,0,1,1,0,1,1
"7",2196,507,"spotted owl caurina subspecies","Strix occidentalis caurina","Endangered","Birds","Aves","Chordata","Strigiformes","Strigidae",0,0,1,584,2015,"Ackers, S. H., Davis, R. J., Olsen, K. A., & Dugger, K. M. (2015). The evolution of mapping habitat for northern spotted owls (Strix occidentalis caurina): A comparison of photo-interpreted, Landsat-based, and lidar-based habitat maps. Remote Sensing of Environment, 156, 361–373. https://doi.org/10.1016/j.rse.2014.09.025","2024-04-23",0,1,1,"2024-06-04",NA,"HK","3",NA,NA,"Here, we examined the differences and similarities between two spatially-explicit SDMs for northern spotted owls covering the same geographic area. Our objectives were to (1) compare an SDM using the Landsat data source previously used for the regional northern spotted owl monitoring program (Davis et al., 2011) to an SDM using analogous data extracted from recent lidar acquisitions, (2) compare the relative importance of predictor variables to habitat suitability indices calculated from both data sources, and (3) compare area estimates and spatial patterns of suitable habitat area derived from both data sources and from a pre-existing photo-interpreted habitat map produced by local wildlife biologists.",0,NA,1,"2001-2008",0,NA,0,NA,NA,0,NA,"3","1",NA,NA,4,"Blue River Watershed, Oregon, USA","0","1","0","0","1","0",NA,NA,NA,NA,NA,0,NA,0,NA,1,0,1,0,0,0,1
"8",432,367,"american chestnut","Castanea dentata","Endangered","Vascular Plants","Magnoliopsida","Tracheophyta","Fagales","Fagaceae",0,0,0,438,2023,"Adeyemo, S. M., & Granger, J. J. (2023). Habitat suitability model and range shift analysis for American Chestnut (Castanea dentata) in the United States. Trees, Forests and People, 11. https://doi.org/10.1016/j.tfp.2022.100360","2023-08-30",0,1,0,"NE","2023 paper","NE","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0
"9",316,118,"eastern wolf","Canis lupus lycaon","Special Concern","Mammals (terrestrial)","Mammalia","Chordata","Carnivora","Canidae",0,0,1,187,2013,"Ahmadi, M., Kaboli, M., Nourani, E., Alizadeh Shabani, A., & Ashrafi, S. (2013). A predictive spatial model for gray wolf (Canis lupus) denning sites in a human-dominated landscape in western Iran. Ecological Research, 28(3), 513–521. https://doi.org/10.1007/s11284-013-1040-2","2023-07-25",0,0,2,"NE","notNA","NE","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"not exact species modelled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0
"10",2095,1040,"grizzly bear western population","Ursus arctos","Special Concern","Mammals (terrestrial)","Mammalia","Chordata","Carnivora","Ursidae",0,1,0,488,2021,"Ahmadipari, M., Yavari, A., & Ghobadi, M. (2021). Ecological monitoring and assessment of habitat suitability for brown bear species in the Oshtorankooh protected area, Iran. Ecological Indicators, 126. https://doi.org/10.1016/j.ecolind.2021.107606","2024-03-13",0,0,0,"NE","notNA","NE","3",NA,"notNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0
