"","species","speciesID","common_name","taxonomic_group","doc_type","sara_status","date_of_listing","doc_citation","url","year_published","CC_threat_CA","seabird","seabird_notes","migratory","subspecies","population","sdm","range_data","rationale_excluded","range_data_source","range_data_citation","spatial_data_used","spatial_data_type","spatial_data_date_accessed","spatial_data_verified","spatial_data_verified_notes","range_size_Canada","range_size_America","exclude_Hardouin_Hargreaves","cc_threat_ca_adj","sara_status_adj","year_of_listing","min_year_of_listing","cc_sdm","sdm_no_cc","sdm_ca","cc_sdm_ca","sdm_no_cc_ca","n_sdm","n_cc_sdm","n_sdm_ca","n_cc_sdm_ca","rsf_sdm","n_rsf_sdm","rowID","X2_primary_review_date","X2_secondary_review_date","X2_cc_sdm","X2_cc_sdm_ref_type","X2_cc_sdm_reference","X2_cc_sdm_section","X2_cc_sdm_cc_threat","X2_cc_sdm_oth_threat","X2_other_sdm","X2_other_sdm_reference","X2_other_sdm_section","X2_other_sdm_cc_threat","X2_other_sdm_oth_threat","X2_other_cc_model","start_date","n_sdm_ca_avl","n_cc_sdm_ca_avl","ld_sdm","ld_sdm_section","ld_sdm_cc_threat","ld_cc_sdm_sp_summary","ld_oth_sdm_sp_summary","avail_v_use_cc_sdm_threat"
"1","Ambystoma texanum",310,"small-mouthed salamander","Amphibians","COSEWIC Status Reports","Endangered","7/14/2005","COSEWIC. 2013. COSEWIC status appraisal summary on the Salamander Ambystoma texanum in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. ## pp.","https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=small%20-%20mouthed%20salamander",2014,"0",0,NA,0,0,0,1,1,NA,"IUCN","IUCN (International Union for Conservation of Nature), Conservation International & NatureServe. 2021. Ambystoma texanum. The IUCN Red List of Threatened Species. Version 2023-1. Downloaded on 02 April 2024.",1,"polygon","March 26 2024",1,NA,56.62460817,1388127.973,"U",1,"Endangered",2005,2005,1,1,1,1,1,5,4,5,4,1,5,826,"7/15/2024",NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2013,4,3,0,"NA NA",0,0,0,1
"2","Ammodramus henslowii",362,"henslow's sparrow","Birds","Recovery Strategies","Endangered",NA,"Environment Canada. 2010. Amended Recovery Strategy for the Henslow’s Sparrow (Ammodramus henslowii) in Canada. Species at Risk Act Recovery Strategy Series. Environment Canada, Ottawa. vi + 23 pp.","https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=henslow%27s%20sparrow",2010,"0",0,NA,1,0,0,1,1,NA,"IUCN","BirdLife International and Handbook of the Birds of the World 2021. Passerculus henslowii. The IUCN Red List of Threatened Species. Version 2023-1",1,"polygon","April 30 2024",1,NA,11853.64998,1306459.72,NA,1,"Endangered",NA,2003,1,0,1,1,0,3,3,3,3,1,3,1608,"7/15/2024",NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2009,1,1,0,"NA NA",0,0,0,1
"3","Antrozous pallidus",348,"pallid bat","Mammals (terrestrial)","Recovery Strategies","Threatened",NA,"Environment and Climate Change Canada. 2017. Recovery Strategy for the Pallid Bat (Antrozous pallidus) in Canada [Proposed]. Species at Risk Act Recovery Strategy Series. Environment and Climate Change Canada, Ottawa. 2 parts, 14 pp. + 46 pp.","https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=pallid%20bat",2017,"0",0,NA,0,0,0,1,1,NA,"Hardouin & Hargreaves","Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,"range size",NA,NA,NA,90671.82041,4722364.24,"N",0,"Threatened",NA,2003,1,1,1,1,0,5,4,4,4,1,5,1790,"7/15/2024","10/22/2024",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2016,2,2,0,"NA NA",0,0,0,1
"4","Antrozous pallidus",348,"pallid bat","Mammals (terrestrial)","COSEWIC Status Reports","Threatened","6/5/2003","COSEWIC. 2000. COSEWIC assessment and update status report on the Pallid Bat Antrozous pallidus in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. v + 18 pp.","https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=pallid%20bat",2010,"0",0,NA,0,0,0,1,1,NA,"Hardouin & Hargreaves","Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,"range size",NA,NA,NA,90671.82041,4722364.24,"N",0,"Threatened",2003,2003,1,1,1,1,0,5,4,4,4,1,5,799,"7/15/2024","10/22/2024",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2009,1,1,0,"NA NA",0,0,0,1
"5","Bucephala islandica",410,"barrow's goldeneye eastern population","Birds","COSEWIC Status Reports","Special Concern","6/5/2003","COSEWIC. 2000. COSEWIC assessment and status report on the Barrow’s Goldeneye Bucephala islandica, Eastern population, in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. vii + 65 pp.","https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=barrow%27s%20goldeneye%20eastern%20population",2011,"0",0,"resident and breeding range inland, non-breeding range at sea",NA,0,1,1,1,NA,"IUCN","BirdLife International and Handbook of the Birds of the World (2016) 2008. Bucephala islandica. The IUCN Red List of Threatened Species. Version 2023-1",1,"polygon","April 30 2024",1,NA,1249049.034,2213086.745,NA,0,"Special Concern",2003,2003,1,0,1,1,0,3,3,3,3,1,3,954,"7/15/2024",NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2010,1,1,0,"NA NA",0,0,0,1
"6","Bucephala islandica",410,"barrow's goldeneye eastern population","Birds","Management Plans","Special Concern",NA,"Environment Canada. 2013. Management Plan for the Barrowâ€™s Goldeneye (Bucephala islandica), Eastern Population, in Canada. Species at Risk Act Management Plan Series. Environment Canada, Ottawa. iv + 16 pages.","https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=barrow%27s%20goldeneye%20eastern%20population",2013,"0",0,"resident and breeding range inland, non-breeding range at sea",NA,0,1,1,1,NA,"IUCN","BirdLife International and Handbook of the Birds of the World (2016) 2008. Bucephala islandica. The IUCN Red List of Threatened Species. Version 2023-1",1,"polygon","April 30 2024",1,NA,1249049.034,2213086.745,NA,0,"Special Concern",NA,2003,1,0,1,1,0,3,3,3,3,1,3,2078,"7/15/2024",NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2012,1,1,0,"NA NA",0,0,0,1
"7","Cephalanthera austiniae",77,"phantom orchid","Vascular Plants","Recovery Strategies","Endangered",NA,"Environment and Climate Change Canada. 2020. Recovery Strategy for the Phantom Orchid (Cephalanthera austiniae) in Canada. Species at Risk Act Recovery Strategy Series. Environment and Climate Change Canada, Ottawa. 2 parts, 17 pp. + 31 pp.","https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=phantom%20orchid",2020,"0",0,NA,0,0,0,1,1,NA,"Hardouin & Hargreaves","Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,"range size",NA,NA,NA,5932.950331,333318.3465,"N",0,"Endangered",NA,2003,1,0,1,1,0,2,2,2,2,1,2,222,"7/16/2024",NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2019,1,1,0,"NA NA",0,0,0,1
"8","Chelydra serpentina",408,"snapping turtle","Reptiles","Management Plans","Special Concern",NA,"Environment and Climate Change Canada. 2020. Management Plan for the Snapping Turtle (Chelydra serpentina) in Canada. Species at Risk Act Management Plan Series. Environment and Climate Change Canada, Ottawa, iv + 40 p.","https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=snapping%20turtle",2020,"0",0,NA,0,0,0,1,1,NA,"Hardouin & Hargreaves","Hardouin, M. E., & Hargreaves, A. L. (2023). Mapping nationally and globally at-risk species to identify hotspots for (and gaps in) conservation. Proceedings of the Royal Society B: Biological Sciences, 290(1995).",0,"range size",NA,NA,NA,740939.649,5715013.991,"N",0,"Special Concern",NA,2011,1,1,1,1,1,4,2,4,2,1,4,304,"7/16/2024",NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2019,4,1,0,"NA NA",0,0,0,1
"9","Colinus virginianus",107,"northern bobwhite","Birds","Recovery Strategies","Endangered",NA,"Environment and Climate Change Canada. 2018. Recovery Strategy for the Northern Bobwhite (Colinus virginianus) in Canada. Species at Risk Act Recovery Strategy Series. Environment and Climate Change Canada, Ottawa. ix + 38 pp.","https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=northern%20bobwhite",2018,"0",0,NA,NA,0,0,1,1,NA,"IUCN","BirdLife International and Handbook of the Birds of the World 2021. Colinus virginianus. The IUCN Red List of Threatened Species. Version 2023-1",1,"polygon","April 30 2024",1,NA,21103.37283,4349942.321,NA,0,"Endangered",NA,2005,1,0,1,1,0,8,8,5,5,1,8,197,"7/16/2024",NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2017,2,2,0,"NA NA",0,0,0,1
"10","Colinus virginianus",107,"northern bobwhite","Birds","COSEWIC Status Reports","Endangered","7/14/2005","COSEWIC. 2013. COSEWIC status appraisal summary on the Northern Bobwhite Colinus virginianus in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xiii pp.","https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=northern%20bobwhite",2013,"0",0,NA,NA,0,0,1,1,NA,"IUCN","BirdLife International and Handbook of the Birds of the World 2021. Colinus virginianus. The IUCN Red List of Threatened Species. Version 2023-1",1,"polygon","April 30 2024",1,NA,21103.37283,4349942.321,NA,0,"Endangered",2005,2005,1,0,1,1,0,8,8,5,5,1,8,827,"7/16/2024",NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2012,1,1,0,"NA NA",0,0,0,1
