"","Variables","Standardized effects","Standard Error","Statistic","p-value","model"
"1","(Intercept)",-0.589,0.164,-3.603,0,"m7 Supplementary: North American SDM research effort"
"2","Amphibians",0.553,0.097,5.725,0,"m7 Supplementary: North American SDM research effort"
"3","Lichens",-0.118,0.195,-0.604,0.547,"m7 Supplementary: North American SDM research effort"
"4","Mammals",0.378,0.119,3.164,0.002,"m7 Supplementary: North American SDM research effort"
"5","Molluscs",-0.087,0.213,-0.409,0.683,"m7 Supplementary: North American SDM research effort"
"6","Reptiles",0.33,0.121,2.716,0.007,"m7 Supplementary: North American SDM research effort"
"7","VascularPlants",-0.155,0.217,-0.715,0.475,"m7 Supplementary: North American SDM research effort"
"8","Threatened",-0.067,0.118,-0.566,0.572,"m7 Supplementary: North American SDM research effort"
"9","Endangered",-0.118,0.112,-1.057,0.291,"m7 Supplementary: North American SDM research effort"
"10","Rangesize",0.653,0.179,3.64,0,"m7 Supplementary: North American SDM research effort"
"11","Year",0.006,0.107,0.057,0.955,"m7 Supplementary: North American SDM research effort"
