"","Variables","Standardized effects","Standard Error","Statistic","p-value","model"
"1","(Intercept)",-1.713,0.218,-7.868,0,"m8 Supplementary: North American SDM-CC research effort"
"2","Amphibians",0.792,0.135,5.885,0,"m8 Supplementary: North American SDM-CC research effort"
"3","Lichens",-0.165,0.316,-0.521,0.603,"m8 Supplementary: North American SDM-CC research effort"
"4","Mammals",0.634,0.163,3.896,0,"m8 Supplementary: North American SDM-CC research effort"
"5","Molluscs",0.137,0.209,0.653,0.514,"m8 Supplementary: North American SDM-CC research effort"
"6","Reptiles",0.546,0.164,3.333,0.001,"m8 Supplementary: North American SDM-CC research effort"
"7","VascularPlants",0.051,0.307,0.165,0.869,"m8 Supplementary: North American SDM-CC research effort"
"8","Threatened",-0.045,0.118,-0.386,0.7,"m8 Supplementary: North American SDM-CC research effort"
"9","Endangered",-0.199,0.115,-1.737,0.083,"m8 Supplementary: North American SDM-CC research effort"
"10","Rangesize",0.902,0.21,4.288,0,"m8 Supplementary: North American SDM-CC research effort"
"11","Year",0.058,0.107,0.538,0.591,"m8 Supplementary: North American SDM-CC research effort"
"12","CCThreat",-0.035,0.111,-0.313,0.755,"m8 Supplementary: North American SDM-CC research effort"
