"","taxonomic_group","species","n_sdm","n_rsf","n_rsf_sdm"
"1","Birds *","Falco peregrinus anatum/tundrius",0,1,1
"2","Birds *","Strix occidentalis caurina",13,2,15
"3","Mammals","Canis lupus lycaon",2,1,3
"4","Mammals","Cynomys ludovicianus",4,1,5
"5","Mammals","Gulo gulo",6,8,14
"6","Mammals","Myotis septentrionalis",6,1,7
"7","Mammals","Rangifer tarandus",11,2,13
"8","Mammals","Rangifer tarandus caribou",3,11,14
"9","Mammals","Ursus arctos",8,21,29
"10","Mammals","Ursus maritimus",2,11,13
"11","Mammals","Vulpes velox",5,1,6
